run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_184733,deepseek,deli,1,0,0.0000,,,1
20260512_184733,deepseek,Ryobi,1,1,1.0000,1.0000,1,0
20260512_184733,deepseek,Craftsman,1,1,1.0000,2.0000,2,0
20260512_184733,deepseek,DeWalt,1,1,1.0000,3.0000,3,0
20260512_184733,deepseek,Milwaukee,1,1,1.0000,4.0000,4,0
20260512_184733,deepseek,Kobalt,1,0,0.0000,,,1
20260512_184733,deepseek,Tekton,1,1,1.0000,7.0000,7,0
20260512_184733,deepseek,Husky,1,1,1.0000,6.0000,6,0
20260512_184733,deepseek,Bauer,1,0,0.0000,,,1
20260512_184733,deepseek,Makita,1,1,1.0000,5.0000,5,0
20260512_184733,yuanbao,deli,0,0,0.0000,,,0
20260512_184733,yuanbao,Ryobi,0,0,0.0000,,,0
20260512_184733,yuanbao,Craftsman,0,0,0.0000,,,0
20260512_184733,yuanbao,DeWalt,0,0,0.0000,,,0
20260512_184733,yuanbao,Milwaukee,0,0,0.0000,,,0
20260512_184733,yuanbao,Kobalt,0,0,0.0000,,,0
20260512_184733,yuanbao,Tekton,0,0,0.0000,,,0
20260512_184733,yuanbao,Husky,0,0,0.0000,,,0
20260512_184733,yuanbao,Bauer,0,0,0.0000,,,0
20260512_184733,yuanbao,Makita,0,0,0.0000,,,0
