run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_173028,deepseek,deli,0,0,0.0000,,,0
20260512_173028,deepseek,Ryobi,0,0,0.0000,,,0
20260512_173028,deepseek,Craftsman,0,0,0.0000,,,0
20260512_173028,deepseek,DeWalt,0,0,0.0000,,,0
20260512_173028,deepseek,Milwaukee,0,0,0.0000,,,0
20260512_173028,deepseek,Kobalt,0,0,0.0000,,,0
20260512_173028,deepseek,Tekton,0,0,0.0000,,,0
20260512_173028,deepseek,Husky,0,0,0.0000,,,0
20260512_173028,deepseek,Bauer,0,0,0.0000,,,0
20260512_173028,deepseek,Makita,0,0,0.0000,,,0
20260512_173028,doubao,deli,1,0,0.0000,,,1
20260512_173028,doubao,Ryobi,1,0,0.0000,,,1
20260512_173028,doubao,Craftsman,1,0,0.0000,,,1
20260512_173028,doubao,DeWalt,1,0,0.0000,,,1
20260512_173028,doubao,Milwaukee,1,0,0.0000,,,1
20260512_173028,doubao,Kobalt,1,0,0.0000,,,1
20260512_173028,doubao,Tekton,1,0,0.0000,,,1
20260512_173028,doubao,Husky,1,0,0.0000,,,1
20260512_173028,doubao,Bauer,1,0,0.0000,,,1
20260512_173028,doubao,Makita,1,0,0.0000,,,1
20260512_173028,yuanbao,deli,1,1,1.0000,1.0000,1,0
20260512_173028,yuanbao,Ryobi,1,0,0.0000,,,1
20260512_173028,yuanbao,Craftsman,1,0,0.0000,,,1
20260512_173028,yuanbao,DeWalt,1,1,1.0000,3.0000,3,0
20260512_173028,yuanbao,Milwaukee,1,0,0.0000,,,1
20260512_173028,yuanbao,Kobalt,1,0,0.0000,,,1
20260512_173028,yuanbao,Tekton,1,0,0.0000,,,1
20260512_173028,yuanbao,Husky,1,0,0.0000,,,1
20260512_173028,yuanbao,Bauer,1,0,0.0000,,,1
20260512_173028,yuanbao,Makita,1,1,1.0000,2.0000,2,0
20260512_173028,tongyi,deli,0,0,0.0000,,,0
20260512_173028,tongyi,Ryobi,0,0,0.0000,,,0
20260512_173028,tongyi,Craftsman,0,0,0.0000,,,0
20260512_173028,tongyi,DeWalt,0,0,0.0000,,,0
20260512_173028,tongyi,Milwaukee,0,0,0.0000,,,0
20260512_173028,tongyi,Kobalt,0,0,0.0000,,,0
20260512_173028,tongyi,Tekton,0,0,0.0000,,,0
20260512_173028,tongyi,Husky,0,0,0.0000,,,0
20260512_173028,tongyi,Bauer,0,0,0.0000,,,0
20260512_173028,tongyi,Makita,0,0,0.0000,,,0
20260512_173028,kimi,deli,0,0,0.0000,,,0
20260512_173028,kimi,Ryobi,0,0,0.0000,,,0
20260512_173028,kimi,Craftsman,0,0,0.0000,,,0
20260512_173028,kimi,DeWalt,0,0,0.0000,,,0
20260512_173028,kimi,Milwaukee,0,0,0.0000,,,0
20260512_173028,kimi,Kobalt,0,0,0.0000,,,0
20260512_173028,kimi,Tekton,0,0,0.0000,,,0
20260512_173028,kimi,Husky,0,0,0.0000,,,0
20260512_173028,kimi,Bauer,0,0,0.0000,,,0
20260512_173028,kimi,Makita,0,0,0.0000,,,0
20260512_173028,wenxin,deli,1,0,0.0000,,,1
20260512_173028,wenxin,Ryobi,1,0,0.0000,,,1
20260512_173028,wenxin,Craftsman,1,0,0.0000,,,1
20260512_173028,wenxin,DeWalt,1,0,0.0000,,,1
20260512_173028,wenxin,Milwaukee,1,0,0.0000,,,1
20260512_173028,wenxin,Kobalt,1,0,0.0000,,,1
20260512_173028,wenxin,Tekton,1,0,0.0000,,,1
20260512_173028,wenxin,Husky,1,0,0.0000,,,1
20260512_173028,wenxin,Bauer,1,0,0.0000,,,1
20260512_173028,wenxin,Makita,1,0,0.0000,,,1
