run_id,platform_id,keyword,total_questions,appeared_count,appearance_rate,avg_rank,best_rank,missed_count
20260512_185958,deepseek,deli,1,0,0.0000,,,1
20260512_185958,deepseek,Ryobi,1,1,1.0000,1.0000,1,0
20260512_185958,deepseek,Craftsman,1,1,1.0000,2.0000,2,0
20260512_185958,deepseek,DeWalt,1,1,1.0000,3.0000,3,0
20260512_185958,deepseek,Milwaukee,1,1,1.0000,5.0000,5,0
20260512_185958,deepseek,Kobalt,1,1,1.0000,7.0000,7,0
20260512_185958,deepseek,Tekton,1,0,0.0000,,,1
20260512_185958,deepseek,Husky,1,1,1.0000,6.0000,6,0
20260512_185958,deepseek,Bauer,1,0,0.0000,,,1
20260512_185958,deepseek,Makita,1,1,1.0000,4.0000,4,0
20260512_185958,yuanbao,deli,1,1,1.0000,1.0000,1,0
20260512_185958,yuanbao,Ryobi,1,0,0.0000,,,1
20260512_185958,yuanbao,Craftsman,1,0,0.0000,,,1
20260512_185958,yuanbao,DeWalt,1,1,1.0000,3.0000,3,0
20260512_185958,yuanbao,Milwaukee,1,0,0.0000,,,1
20260512_185958,yuanbao,Kobalt,1,0,0.0000,,,1
20260512_185958,yuanbao,Tekton,1,0,0.0000,,,1
20260512_185958,yuanbao,Husky,1,0,0.0000,,,1
20260512_185958,yuanbao,Bauer,1,0,0.0000,,,1
20260512_185958,yuanbao,Makita,1,1,1.0000,2.0000,2,0
